M_PR_UID	M_PR_NAME	M_PR_INCHIKEY	M_PR_SMILE-CAN-OB	M_PR_FORMULA	M_PR_CHARGE
2752095	2-(3,4-dihydroxyphenyl)-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-2-oxanyl]oxy]-1-benzopyran-7-one	MVCZYIINCNBXDB	OCC1OC(Oc2cc(=O)cc3c2cc(OC2OC(CO)C(C(C2O)O)O)c(o3)c2ccc(c(c2)O)O)C(C(C1O)O)O	C27H30O16	0.0
2756730	5-hydroxy-3-[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-2-oxanyl]oxy]-2-(3,4,5-trihydroxyphenyl)-1-benzopyran-7-one	XIIACXXCJBZLHS	OCC1OC(Oc2cc3c(O)cc(=O)cc3oc2c2cc(O)c(c(c2)O)O)C(C(C1O)O)O	C21H20O12	0.0
2774336	2-(4-hydroxyphenyl)-3,5-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-2-oxanyl]oxy]-1-benzopyran-7-one	DVEHRCKXTZYDME	OCC1OC(Oc2cc(=O)cc3c2cc(OC2OC(CO)C(C(C2O)O)O)c(o3)c2ccc(cc2)O)C(C(C1O)O)O	C27H30O15	0.0
2792575	2-hydroxy-2-phenylacetaldehyde	JCISRQNKHZNVHJ	O=CC(c1ccccc1)O	C8H8O2	0.0
2900032	indole-1-carbaldehyde	JZWXUCFEVWHNKB	O=Cn1ccc2c1cccc2	C9H7NO	0.0
2903019	carbonoperoxoic acid	MMCOUVMKNAHQOY	OOC(=O)O	CH2O4	0.0
2908595	2-(3,4-dihydroxyphenyl)-3,7-bis[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-2-oxanyl]oxy]-1-benzopyran-5-one	VMQTXGMFZBVVQQ	OCC1OC(Oc2cc(=O)c3c(c2)oc(c(c3)OC2OC(CO)C(C(C2O)O)O)c2ccc(c(c2)O)O)C(C(C1O)O)O	C27H30O16	0.0
2998305	3-hydroxy-3-(4-hydroxyphenyl)propanoic acid	AKWHTKRUNUYXDS	OC(=O)CC(c1ccc(cc1)O)O	C9H10O4	0.0
3004004	(2-hydroxy-3-phosphonooxypropyl) dihydrogen phosphate	YEENKMKEGPBVHG	OC(COP(=O)(O)O)COP(=O)(O)O	C3H10O9P2	0.0
3005328	1-(1H-indol-3-yl)propane-1,2,3-triol	XINKZRRAVQNCLX	OCC(C(c1c[nH]c2c1cccc2)O)O	C11H13NO3	0.0
3394884	4-formamidobenzoic acid	ZBCGPWAZRMLTKF	O=CNc1ccc(cc1)C(=O)O	C8H7NO3	0.0
3471255	2-(prop-2-enoylamino)propanoic acid	PPRBGMXQDAMDAB	CC(C(=O)O)NC(=O)C=C	C6H9NO3	0.0
3708936	3-(3-aminopropanoylamino)propanoic acid	DWCSTCCKNZMDHA	NCCC(=O)NCCC(=O)O	C6H12N2O3	0.0
4407767	2-oxo-3-phenylpropanal	OFMBSIAKTAZWIE	O=CC(=O)Cc1ccccc1	C9H8O2	0.0
4674662	3-hydroxy-2-methyl-2,3-dihydropyran-4-one	PCECDTGFEXTFNO	CC1OC=CC(=O)C1O	C6H8O3	0.0
5246079	1,4-diphenylbutane-1,3-dione	LIKQHVGPOUBDTG	O=C(CC(=O)c1ccccc1)Cc1ccccc1	C16H14O2	0.0
5248753	4-(hydroxymethylamino)benzoic acid	APCBSUUAURYXCW	OCNc1ccc(cc1)C(=O)O	C8H9NO3	0.0
5345506	1,2-diaminopropan-1-ol	YMBJHDGTYWEKOY	NC(C(N)C)O	C3H10N2O	0.0
5427088	(2S)-4-[2-[[(1S)-1-carboxy-2-(4-hydroxyphenyl)ethyl]amino]vinyl]-2,3-dihydropyridine-2,6-dicarboxylic acid	XZCZKQZHJKYDQW	Oc1ccc(cc1)CC(C(=O)O)NC=CC1=CC(=NC(C1)C(=O)O)C(=O)O	C18H18N2O7	0.0
5427330	(2S,3R,4S,5S,6R)-2-[[2-(3,4-dihydroxyphenyl)-5,7-dihydroxy-1-benzopyrylium-3-yl]oxy]-6-(hydroxymethyl)oxane-3,4,5-triol	RKWHWFONKJEUEF	OCC1OC(Oc2cc3c(O)cc(cc3[o+]c2c2ccc(c(c2)O)O)O)C(C(C1O)O)O	C21H21O11+	1.0
5433924	Cyclohexane-1-carboxyl-CoA	QRSKGVRHSLILFG	O=C(NCCSC(=O)C1CCCCC1)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C28H46N7O17P3S	0.0
5443990	5-hydroxy-2-(4-hydroxyphenyl)-3-[[(2S,3R,4S,5S,6R)-3,4,5-trihydroxy-6-(hydroxymethyl)-2-oxanyl]oxy]-1-benzopyran-7-one	LOPAXYRUFHKGFO	OCC1OC(Oc2cc3c(O)cc(=O)cc3oc2c2ccc(cc2)O)C(C(C1O)O)O	C21H20O10	0.0
5445294	(1S,4aR,12aS)-3-acetyl-4a-[[(2S,4R,5S,6R)-4,5-dihydroxy-6-methyl-2-oxanyl]oxy]-4,6,7,9-tetrahydroxy-1-methoxy-12,12a-dihydro-1H-tetracene-2,5-dione	NROOIKAJMQWERE	COC1C(=O)C(=C(C2(C1Cc1cc3cc(O)cc(c3c(c1C2=O)O)O)OC1CC(O)C(C(O1)C)O)O)C(=O)C	C27H28O12	0.0
5445305	(1S,4aR,12aS)-3-acetyl-4a-[[(2S,4R,5R,6R)-4-[[(2S,4R,5R,6R)-4,5-dihydroxy-6-methyl-2-oxanyl]oxy]-5-hydroxy-6-methyl-2-oxanyl]oxy]-4,6,7,9-tetrahydroxy-1-methoxy-12,12a-dihydro-1H-tetracene-2,5-dione	MSZWVMYMDWJNJY	COC1C(=O)C(=C(C2(C1Cc1cc3cc(O)cc(c3c(c1C2=O)O)O)OC1CC(OC2CC(O)C(C(O2)C)O)C(C(O1)C)O)O)C(=O)C	C33H38O15	0.0
5445316	(1S,4aR,12aS)-3-acetyl-4a-[[(2S,4R,5R,6R)-4-[[(2S,4R,5S,6R)-4-[[(2S,4S,5R,6R)-4,5-dihydroxy-4,6-dimethyl-2-oxanyl]oxy]-5-hydroxy-6-methyl-2-oxanyl]oxy]-5-hydroxy-6-methyl-2-oxanyl]oxy]-4,6,7,9-tetrahydroxy-1-methoxy-12,12a-dihydro-1H-tetracene-2,5-dione	AASZIVFAOBUOTM	COC1C(=O)C(=C(C2(C1Cc1cc3cc(O)cc(c3c(c1C2=O)O)O)OC1CC(OC2CC(OC3OC(C)C(C(C3)(C)O)O)C(C(O2)C)O)C(C(O1)C)O)O)C(=O)C	C40H50O18	0.0
5448577	[[(2R,3S,4R,5R)-5-(6-aminopurin-9-yl)-3,4-dihydroxy-2-oxolanyl]methoxy-hydroxyphosphoryl] [(2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxo-1H-benzo[g]pteridin-10-ium-10-yl)-2,3,4-trihydroxypentyl] hydrogen phosphate	IMGVNJNCCGXBHD	O=c1[nH]c(=O)c2c([nH]1)[n+](CC(C(C(COP(=O)(OP(=O)(OCC1OC(C(C1O)O)n1cnc3c1ncnc3N)O)O)O)O)O)c1c(n2)cc(c(c1)C)C	C27H34N9O15P2+	1.0
5449136	[(2R,3S,4S)-5-(7,8-dimethyl-2,4-dioxo-1H-benzo[g]pteridin-10-ium-10-yl)-2,3,4-trihydroxypentyl] dihydrogen phosphate	ANKZYBDXHMZBDK	O=c1[nH]c(=O)c2c([nH]1)[n+](CC(C(C(COP(=O)(O)O)O)O)O)c1c(n2)cc(c(c1)C)C	C17H22N4O9P+	1.0
5454232	(2R,3S)-4-aminobutane-1,2,3-triol	WIFPJDJJFUSIFP	NCC(C(CO)O)O	C4H11NO3	0.0
5461670	(3R,4S,5R)-3,4-dihydroxy-5-phosphonooxy-1-cyclohexenecarboxylic acid	ZTKHATQQGAVPBM	OC1C(O)C=C(CC1OP(=O)(O)O)C(=O)O	C7H11O8P	0.0
5465154	(2S)-2-amino-3-phenylpropanal	CQIUZHAQYHXKRY	O=CC(Cc1ccccc1)N	C9H11NO	0.0
5485376	Glycolaldehyde phosphate	LSAQVYAXNBXMMR	O=CCOP(=O)(O)O	C2H5O5P	0.0
5489144	(1-formyl-2-hydroxy-ethyl) dihydrogen phosphate	XWNOCINUJAJTTH	OCC(OP(=O)(O)O)C=O	C3H7O6P	0.0
6063945	6-hydroxy-1H-pyrimidine-2,4-dione	GWEJPUMJAQFCBN	Oc1cc(=O)[nH]c(=O)[nH]1	C4H4N2O3	0.0
6136672	4-formamido-1H-imidazole-5-carboxamide	QOSKNVOAUSXSOS	O=CNc1nc[nH]c1C(=O)N	C5H6N4O2	0.0
6257054	3-formamidopropanoic acid	MSEDDDMEHWJQEK	O=CNCCC(=O)O	C4H7NO3	0.0
7281120	(2R,4R)-2-amino-4-hydroxypentanoic acid	SBRVJFMQKPUAGQ	CC(CC(C(=O)O)N)O	C5H11NO3	0.0
29746929	[[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-3,4-dihydroxy-2-oxolanyl]methoxy-hydroxyphosphoryl] [hydroxy(phosphonooxy)phosphoryl] hydrogen phosphate	ZBQGNTDXMLQDQJ	OC1C(COP(=O)(OP(=O)(OP(=O)(OP(=O)(O)O)O)O)O)OC(C1O)n1ccc(nc1=O)N	C9H17N3O17P4	0.0
29758512	S-[2-[3-[[4-[[[5-(6-aminopurin-9-yl)-4-hydroxy-3-phosphonooxy-tetrahydrofuran-2-yl]methoxy-hydroxy-phosphoryl]oxy-hydroxy-phosphoryl]oxy-2-hydroxy-3,3-dimethyl-butanoyl]amino]propanoylamino]ethyl] 2-hydroxyethanethioate	KLHKNYVUTZICKN	OCC(=O)SCCNC(=O)CCNC(=O)C(C(COP(=O)(OP(=O)(OCC1OC(C(C1OP(=O)(O)O)O)n1cnc2c1ncnc2N)O)O)(C)C)O	C23H38N7O18P3S	0.0
36798137	1-amino-3-phenyl-2-propanol	JIIXMZQZEAAIJX	NCC(Cc1ccccc1)O	C9H13NO	0.0
44248462	2-aminovinyl dihydrogen phosphate	KYMLMTPYCDIFEC	NC=COP(=O)(O)O	C2H6NO4P	0.0
45987930	2-amino-3-(1-formylindol-3-yl)propanoic acid	KRUDZOGZZBVSHD	O=Cn1cc(c2c1cccc2)CC(C(=O)O)N	C12H12N2O3	0.0
52615785	Apigenin	KZNIFHPLKGYRTM	Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2O)O	C15H10O5	0.0
52628581	7,4'-Dihydroxyflavone	LCAWNFIFMLXZPQ	Oc1ccc(cc1)c1cc(=O)c2c(o1)cc(cc2)O	C15H10O4	0.0
52908417	2-ureidobenzoic acid	WIVRIZOJCNHCPS	NC(=O)Nc1ccccc1C(=O)O	C8H8N2O3	0.0
53571469	1-hydroxy-3-methyl-2-[(4-methyl-1-piperazinyl)methyl]-7,8,9,10-tetrahydrobenzo[c][1]benzopyran-6-one	FZYOVNIOYYPUPY	COC1C=COC2(C)Oc3c(C2=O)c2C(=O)C(=CNN4CCN(CC4)C)C(=C(c2c(c3C)O)O)NC(=O)C(=CC=CC(C(C(C(C(C(C1C)OC(=O)C)C)O)C)O)C)C	C43H58N4O12	0.0
54482363	1-[[2-[(1R,2R)-3-oxo-2-[(Z)-pent-2-enyl]cyclopentyl]acetyl]amino]cyclopropanecarboxylic acid	TVRBFBSVUYCAKT	CCC=CCC1C(CCC1=O)CC(=O)NC1(CC1)C(=O)O	C16H23NO4	0.0
59937801	2-amino-3-$l^{1}-selanylpropanoic acid	FDKWRPBBCBCIGA	NC(C(=O)O)C[Se]	C3H6NO2Se	0.0
60015816	[(3S)-3-acetamido-3-carboxypropyl]-hydroxy-oxophosphonium	YAHRFRPXRQYSSY	O[P+](=O)CCC(C(=O)O)NC(=O)C	C6H11NO5P+	1.0
60530393	N,N-diformylformamide	PFBAGGWJGZAGCG	O=CN(C=O)C=O	C3H3NO3	0.0
60533728	aminomethanol	XMYQHJDBLRZMLW	NCO	CH5NO	0.0
61103881	(2R,3R)-2,3-bis[[(E)-3-(4-hydroxyphenyl)prop-2-enoyl]oxy]butanedioic acid	BFEFLDQQDKPMIB	OC(=O)C(C(C(=O)O)OC(=O)C=Cc1ccc(cc1)O)OC(=O)C=Cc1ccc(cc1)O	C22H18O10	0.0
63169727	(3S,4R)-3,4-dihydroxypentan-2-one	FFYGQZADJGVPGT	CC(C(C(=O)C)O)O	C5H10O3	0.0
66258325	2-[diaminomethylene(methyl)ammonio]acetate	WXOFJMWQRNARBH	[O-]C(=O)C[N+](=C(N)N)C	C4H9N3O2	0.0
94890401	2-methylpyran-3,4-dione	HYMLWHLQFGRFIY	O=C1C(C)OC=CC1=O	C6H6O3	0.0
95572399	Calicheamicinone	KSPGUBODGVOTHI	CSSSCC=C1C2=C(NC(=O)OC)C(=O)CC1(O)C#CC=CC#CC2O	C18H17NO5S3	0.0
96146329	2-methyloxolane-3,4-dione	OGRDTBANIMAEAO	CC1OCC(=O)C1=O	C5H6O3	0.0
98371333	acetyl 2-hydroxybenzoate	UQJRAOCVSMOMNW	CC(=O)OC(=O)c1ccccc1O	C9H8O4	0.0
98897360	2-(2-oxopropanoylamino)propanoic acid	LRBARJMHQPHPQP	CC(C(=O)O)NC(=O)C(=O)C	C6H9NO4	0.0
98905473	2-(2-oxopropanoylamino)-3-phenyl-propanoic acid	YEALFOYYKCROFR	OC(=O)C(Cc1ccccc1)NC(=O)C(=O)C	C12H13NO4	0.0
103047057	(4S,5S)-2,4-dihydroxy-5-(hydroxymethyl)-2-oxolanecarboxylic acid	RCUMQJPRQWRUNN	OCC1OC(CC1O)(O)C(=O)O	C6H10O6	0.0
106552605	1-amino-3-hydroxy-2-propanone	WXOQUXSBHUDHSO	NCC(=O)CO	C3H7NO2	0.0
106790437	1-hydroxy-3-phenyl-2-propanone	QLCZRWKIQPLYFS	OCC(=O)Cc1ccccc1	C9H10O2	0.0
107614607	(3R)-3-hydroxy-1-phenyl-2-butanone	RFHRXUDEWBOJCW	CC(C(=O)Cc1ccccc1)O	C10H12O2	0.0
110981745	3-oxo-4-phenylbutanoic acid	SLWCDZBRDSTRLV	O=C(Cc1ccccc1)CC(=O)O	C10H10O3	0.0
111225913	1,2-diaminoethanol	XXMBEHIWODXDTR	NCC(O)N	C2H8N2O	0.0
112329474	(3R,4S,5S)-2-(hydroxymethyl)-5-methyloxolane-2,3,4-triol	CJJCPDZKQKUXSS	OCC1(O)OC(C(C1O)O)C	C6H12O5	0.0
112820110	[(2R,3R)-4-amino-2,3-dihydroxybutyl] dihydrogen phosphate	DTFPVGQJMVURRS	NCC(C(COP(=O)(O)O)O)O	C4H12NO6P	0.0
115063623	2-iminoacetamide	YKECSFNZQGAHFU	NC(=O)C=N	C2H4N2O	0.0
115215861	6-hydroxy-2-methyloxane-3,4-dione	STDVLTSKHLUGNY	CC1OC(O)CC(=O)C1=O	C6H8O4	0.0
115445870	(3S)-3-hydroxy-1,4-diphenyl-2-butanone	MOLCLXHQJKJETK	O=C(C(Cc1ccccc1)O)Cc1ccccc1	C16H16O2	0.0
116452243	phosphono (2S)-2-amino-3-hydroxy-propanoate	HEJHDENWXHUVBO	OCC(C(=O)OP(=O)(O)O)N	C3H8NO6P	0.0
119251472	(E)-2-oxo-4-phenyl-3-butenal	PBPWOWKXFXYSAI	O=CC(=O)C=Cc1ccccc1	C10H8O2	0.0
120311041	1-indolylmethanol	JZOFVAHGZLNPCV	OCn1ccc2c1cccc2	C9H9NO	0.0
120715858	(E)-2,6-dioxohex-4-enoic acid	BZASMTAZNYJZSL	O=CC=CCC(=O)C(=O)O	C6H6O4	0.0
121555656	[2-(3,4-dihydroxyphenyl)-5-hydroxy-4-oxo-3-sulfooxy-chromen-7-yl] hydrogen sulfate	WFXOPUUONQJQRD	Oc1ccc(cc1O)c1oc2cc(cc(c2c(=O)c1OS(=O)(=O)O)O)OS(=O)(=O)O	C15H10O13S2	0.0
121787785	[hydroxy-[[(2R,3S,4R,5R)-4-hydroxy-3-[hydroxy(phosphonooxy)phosphoryl]oxy-5-(6-oxo-3H-purin-9-yl)-2-oxolanyl]methoxy]phosphoryl] phosphono hydrogen phosphate	OYNNBVRRINBLOQ	OC1C(OP(=O)(OP(=O)(O)O)O)C(OC1n1cnc2c1[nH]cnc2=O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O	C10H17N4O20P5	0.0
122138382	1-(2-hydroxyphenyl)propane-1,2-dione	WGDIJJPZLBCVJY	CC(=O)C(=O)c1ccccc1O	C9H8O3	0.0
122280467	2-[[(3R,4S,5R)-3,4-dihydroxy-5-(hydroxymethyl)-2-oxolanyl]amino]benzoic acid	AESBEZCRERKVEE	OCC1OC(C(C1O)O)Nc1ccccc1C(=O)O	C12H15NO6	0.0
122587715	1-amino-3-phenyl-2-propanone	GIGLHOJHLDZPTD	NCC(=O)Cc1ccccc1	C9H11NO	0.0
122926603	3-oxo-4-phenylbutanal	GTCXBYVFIWRBIL	O=CCC(=O)Cc1ccccc1	C10H10O2	0.0
123656062	formyl (E)-3-phenylprop-2-enoate	OMYYAAOPPULBCA	O=COC(=O)C=Cc1ccccc1	C10H8O3	0.0
124007314	2,3-diaminopropanamide	DLUNHDFHAREIPQ	NCC(C(=O)N)N	C3H9N3O	0.0
124563508	4,5,6,7-tetrahydroxy-2-oxoheptanoic acid	LVRIRMAKAGGWQR	OCC(C(C(CC(=O)C(=O)O)O)O)O	C7H12O7	0.0
124828562	(2S,3R,4S)-4-amino-2-methyl-3,4-dihydro-2H-pyran-3-ol	PXAAZTXCQIZOCS	CC1OC=CC(C1O)N	C6H11NO2	0.0
125065571	3-hydroxy-1-phenylpropane-1,2-dione	OFBZCCAVAUPPGO	OCC(=O)C(=O)c1ccccc1	C9H8O3	0.0
125408009	(E)-4,6-dioxohex-2-enoic acid	ABVCOKLCDIBEPJ	O=CCC(=O)C=CC(=O)O	C6H6O4	0.0
126563548	formyl 4-hydroxybenzoate	SAMOJWMRMDAYOS	O=COC(=O)c1ccc(cc1)O	C8H6O4	0.0
127010619	2-oxo-4-phenylbutanal	VRMKYLJEQZBUBG	O=CC(=O)CCc1ccccc1	C10H10O2	0.0
127203322	hydroxymethyl formate	APUQIHKCZFWODD	OCOC=O	C2H4O3	0.0
128119531	5-hydroxycyclohexane-1,3-dione	ACRUCDPQQCIOID	OC1CC(=O)CC(=O)C1	C6H8O3	0.0
128840482	2-(carboxyamino)benzoic acid	RFQGAFQKNITSIA	OC(=O)Nc1ccccc1C(=O)O	C8H7NO4	0.0
128840573	3-amino-2-ureido-propanoic acid	RYDHNLZXKOONJQ	NCC(C(=O)O)NC(=O)N	C4H9N3O3	0.0
129319778	N-benzyl-N-formyl-formamide	UYMDTRPBHSGPIQ	O=CN(Cc1ccccc1)C=O	C9H9NO2	0.0
130190823	4-[[(1S)-1-carboxy-2-(1H-imidazol-5-yl)ethyl]amino]-4-oxobutanoic acid	WMTYFTFNLCUEQD	O=C(NC(C(=O)O)Cc1cnc[nH]1)CCC(=O)O	C10H13N3O5	0.0
138018465	2-[(2-hydroxybenzoyl)amino]-3-(1H-indol-3-yl)propanoic acid	HGFMRRGYZHWCGA	OC(=O)C(Cc1c[nH]c2c1cccc2)NC(=O)c1ccccc1O	C18H16N2O4	0.0
138195258	3-amino-N-ethylpropanamide	QIMPNVVLHJIZGN	NCCC(=O)NCC	C5H12N2O	0.0
146688767	cpd15673	QWRVNPWTRIUQKD	OC(COP(=O)(O)O)COC(=O)CCCCCCCCCCC(C)C	C17H35O7P	0.0
146688921	cpd15674	KYLOMUCOKGSSDK	OC(COP(=O)(O)O)COC(=O)CCCCCCCCCCCC(C)C	C18H37O7P	0.0
151349271	hydroxymethyl 2-oxopropanoate	UBIGTMGWXVZEHH	CC(=O)C(=O)OCO	C4H6O4	0.0
151751318	1,1,3-trihydroxypropan-2-one	WEROPXZATQCXLT	OCC(=O)C(O)O	C3H6O4	0.0
152232793	2-aminoperoxyacetic acid	FWPVTRYPFNDICZ	NCC(=O)OO	C2H5NO3	0.0
152738559	1-indolylmethanamine	PARWCHOPLKCWOC	NCn1ccc2c1cccc2	C9H10N2	0.0
153991600	(2S)-2-amino-3-hydroxypropaneperoxoic acid	VAYJGHFCVSPSMD	OCC(C(=O)OO)N	C3H7NO4	0.0
154655146	1-phenylpentane-1,3,4-trione	YGHJJBLPGDRCEJ	O=C(c1ccccc1)CC(=O)C(=O)C	C11H10O3	0.0
154912011	carbamoyl formate	RGWVGYUFUUNFIV	O=COC(=O)N	C2H3NO3	0.0
156957537	(Z)-2-aminobut-2-enedioate	ABZHGLSYGDUSDL	[O-]C(=O)C=C(C(=O)[O-])N	C4H3NO4--	-2.0
161304261	N-formyl-N-(2-formylphenyl)formamide	KMWCJMJPZRQCLR	O=CN(c1ccccc1C=O)C=O	C9H7NO3	0.0
164552947	formyl 2-hydroxypropanoate	PVOBMMLCJQDYNA	CC(C(=O)OC=O)O	C4H6O4	0.0
165081896	4-carboxyoxybenzoic acid	CNBZCOOABPQOCD	OC(=O)Oc1ccc(cc1)C(=O)O	C8H6O5	0.0
165236853	carboxy formate	KEMBXDPMWJGADL	O=COC(=O)O	C2H2O4	0.0
166067123	3-aminopropaneperoxoic acid	IQBIARKBWBZCBC	NCCC(=O)OO	C3H7NO3	0.0
166412133	(E)-3-(2,4,5-trihydroxyphenyl)prop-2-enoic acid	GUOJZFSYQUIYCN	OC(=O)C=Cc1cc(O)c(cc1O)O	C9H8O5	0.0
166605299	phosphono 2-aminoacetate	SIFMYPJMDXOSHN	NCC(=O)OP(=O)(O)O	C2H6NO5P	0.0
168116841	5,6-dioxocyclohexa-1,3-diene-1-carboxylic acid	DVHJEJFVJPGNQK	OC(=O)C1=CC=CC(=O)C1=O	C7H4O4	0.0
171498803	(E)-5-amino-1-phenyl-1-penten-3-one	MWKOUXJXOYBDSP	NCCC(=O)C=Cc1ccccc1	C11H13NO	0.0
172732233	4,5,6-trihydroxy-2-methyl-3-oxanone	WGDVREBVOHPKLZ	OC1OC(C)C(=O)C(C1O)O	C6H10O5	0.0
176174397	[[(2R,3S,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-3-hydroxy-2-oxolanyl]methoxy-hydroxyphosphoryl] [hydroxy(phosphonooxy)phosphoryl] hydrogen phosphate	HCMGQTBXNMTYAB	OC1CC(OC1COP(=O)(OP(=O)(OP(=O)(OP(=O)(O)O)O)O)O)n1ccc(nc1=O)N	C9H17N3O16P4	0.0
176441879	1-propene-1,1,2,3-tetrol	FKHQAZCUTPHBHN	OCC(=C(O)O)O	C3H6O4	0.0
176826981	2-hydroxypropanoyl 2,3-dihydroxypropanoate	PAQKDJFUYKNCJP	OCC(C(=O)OC(=O)C(O)C)O	C6H10O6	0.0
178569358	[(2R,3S,4R,5R)-5-(4-amino-2-oxo-1-pyrimidinyl)-4-hydroxy-2-[[hydroxy-[hydroxy(phosphonooxy)phosphoryl]oxyphosphoryl]oxymethyl]-3-oxolanyl] [hydroxy(phosphonooxy)phosphoryl] hydrogen phosphate	FVZAMVFIUXXJCF	Nc1ccn(c(=O)n1)C1OC(C(C1O)OP(=O)(OP(=O)(OP(=O)(O)O)O)O)COP(=O)(OP(=O)(OP(=O)(O)O)O)O	C9H19N3O23P6	0.0
179913543	2-[[4-[(2-amino-5-formyl-4-oxo-1,6,7,8-tetrahydropteridin-6-yl)methyl-formyl-amino]benzoyl]amino]pentanedioic acid	NQACWOLNMUVBMP	O=CN(c1ccc(cc1)C(=O)NC(C(=O)O)CCC(=O)O)CC1CNc2c(N1C=O)c(=O)nc([nH]2)N	C21H23N7O8	0.0
180069986	4-(diformylamino)benzoic acid	JHBIASIYZWAACL	O=CN(c1ccc(cc1)C(=O)O)C=O	C9H7NO4	0.0
180460556	2,4-dihydroxy-3-oxobutanal	RAPYKXPBVBNJGC	OC(C(=O)CO)C=O	C4H6O4	0.0
183182899	2-ureidoprop-2-enoate	MQTIJPKYKSWADJ	NC(=O)NC(=C)C(=O)[O-]	C4H5N2O3-	-1.0
184774526	2-aminoprop-2-enal	UAEGXGLKJKRYJW	NC(=C)C=O	C3H5NO	0.0
