M_PR_UID	M_PR_NAME	M_PR_INCHIKEY	M_PR_SMILE-CAN-OB	M_PR_FORMULA	M_PR_CHARGE	M_XR_ALL_OTHER	M_XR_KEGG
1467867640	4-Hydroxybenzoate	FJKROLUGYXJWQN	Oc1ccc(cc1)C(=O)O	C7H6O3	0.0	4-hydroxybenzoate,ChEBI: 17879 30763,CHEMBL441343,cpd00136,DB04242,FDB010508,HMDB0000500,MNXM164	C00156
1467868389	Sarcosine	FSYKKLYZXJSNPZ	C[NH2+]CC(=O)O	C3H8NO2+	1.0	ChEBI: 15611,CHEMBL304383,cpd00183,DB12519,FDB004048,HMDB0000271,MNXM300,SARCOSINE	C00213
1467870034	3,4-Dihydroxy-L-phenylalanine	WTDRDQBEARUVNC	[O-]C(=O)C(Cc1ccc(c(c1)O)O)N	C9H10NO4-	-1.0	APRD00309,ChEBI: 15765,CHEMBL1009,CHEMBL211670,CHEMBL351042,cpd00291,DB01235,EXPT01107,FDB000567,HMDB0000181,HMDB0000609,L-DIHYDROXY-PHENYLALANINE,MNXM167658,MNXM279,MNXM48427	C00355
1467874835	4-Coumarate	NGSWKAQJJWESNS	OC(=O)C=Cc1ccc(cc1)O	C9H8O3	0.0	ChEBI: 32374,CHEMBL2336752,CHEMBL66879,CIS-P-COUMARATE,COUMARATE,cpd00604,cpd04125,DB04066,FDB002592,HMDB0002035,HMDB0030677,HMDB0128076,MNXM487095,MNXM505	C00811,C06738
1467878631	Caffeate	QAIPRVGONGVQAS	OC(=O)C=Cc1ccc(c(c1)O)O	C9H8O4	0.0	ChEBI: 16433,CHEMBL1320034,CHEMBL145,CHEMBL3181904,CPD-676,CPD-8098,cpd00881,cpd22503,cpd25047,cpd30744,DB01880,EXPT01188,FDB002558,HMDB0001964,HMDB0003501,HMDB0125102,MNXM5677,MNXM890	C01197,C01481
1467879801	H2O	XLYOFNOQVPJJNP	O	H2O	0.0	ChEBI: 16234,CHEMBL1098659,CHEMBL1232306,CHEMBL2105800,CHEMBL2106489,CPD-12377,cpd00001,cpd15275,DB09145,DB14522,FDB013390,HMDB0001039,HMDB0002111,MNXM2,MNXM527231,OH,OXONIUM,Water	C00001,C01328
1467879874	Ammonia	QGZKDVFQNNGYKY	[NH4+]	H4N+	1.0	AMMONIA,AMMONIUM,ChEBI: 16134,ChEBI: 28938,CHEMBL1160819,CHEMBL1201189,cpd00013,cpd19013,DB09326,FDB003908,HMDB0000051,HMDB0041827,MNXM15	C00014,C01342
1467879956	FADH2	YPZRHBJKEMOYQH	O=c1[nH]c(=O)c2c([nH]1)n(CC(C(C(COP(=O)(OP(=O)(OCC1OC(C(C1O)O)n1cnc3c1ncnc3N)O)O)O)O)O)c1c([nH]2)cc(c(c1)C)C	C27H35N9O15P2	0.0	ChEBI: 17877,cpd00982,FADH2,FDB022483,HMDB0001197,MNXM38	C01352
1467880967	Ferulate	KSEBMYQBYZTDHS	COc1cc(C=CC(=O)O)ccc1O	C10H10O4	0.0	ChEBI: 17620,CHEMBL3185646,CHEMBL32749,cpd01059,DB07767,FDB012801,FERULIC-ACID,HMDB0000954,HMDB0125096,MNXM499514,MNXM573,MNXM683732	C01494
1467900185	3,4-Dihydroxyphenylacetaldehyde	IADQVXRMSNIUEL	O=CCc1ccc(c(c1)O)O	C8H8O3	0.0	34-DIHYDROXYPHENYLACETALDEHYDE,ChEBI: 27978,cpd02500,FDB023227,HMDB0003791,MNXM1401	C04043
1468014334	Hydroxyl radical	TUJKJAMUKRIRHC	[OH]	HO	0.0	ChEBI: 29191,CHEMBL1689064,CPD-12377,cpd17154,MNXM56888	C16844
1468097851	tadalafil	WOXKDUGGOYFFRN	O=C1N(C)CC(=O)N2C1Cc1c(C2c2ccc3c(c2)OCO3)[nH]c2c1cccc2	C22H19N3O4	0.0	APRD00071,CHEBI:71940,CHEMBL139028,CHEMBL139521,CHEMBL1671905,CHEMBL344855,CHEMBL779,DB00820,HMDB0014958,MNXM31348	
1469351480	3-O-methyldopa	PFDUUKDQEHURQC	COc1cc(ccc1O)CC(C(=O)[O-])[N+]	C10H10NO4	0.0	CHEMBL1314652,CPD-11496,cpd22970,FDB022620,HMDB0001434,HMDB0060747,MNXM10073,MNXM484350	
1469442031	H+	GPRLSGONYQIRFK	[H+]	H+	1.0	ChEBI: 15378 24636,cpd00067,FDB030899,HMDB0059597,MNXM01,MNXM1,proton	C00080
LIPVUDSNGRJSQE	0	LIPVUDSNGRJSQE	COC(=O)C1Cc2c([nH]c3ccccc23)C(c2ccc3c(c2)OCO3)N1	C20H18N2O4	0.0		
RWXZBJIVTZKYFX	0	RWXZBJIVTZKYFX	CNCC(=O)N1C(C(=O)OC)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2	C23H23N3O5	0.0		
QFQYZMGOKIROEC	0	QFQYZMGOKIROEC	OC(=O)C=Cc1ccc2c(c1)OCO2	C10H8O4	0.0		
SATCULPHIDQDRE	0	SATCULPHIDQDRE	O=Cc1ccc2c(c1)OCO2	C8H6O3	0.0		
MUUFJIFAAHRREF	0	MUUFJIFAAHRREF	CNCC(=O)N1C(C(=O)O)Cc2c([nH]c3ccccc23)C1c1ccc2c(c1)OCO2	C22H21N3O5	0.0		
