metabolite name	formula	KEGG	CHEBI	MetaNetX	metaboliteLCSBID
3-hydroxyanthranilate [cytoplasm]	C7H6NO3	C00632	CHEBI:36559	MNXM359	1467873011
3-hydroxyoctadecanoyl-CoA [peroxisome]	C39H67N7O18P3S	C16217	CHEBI:50583	MNXM1309	1468008271
3-ketosphinganine [endoplasmic reticulum]	C18H38NO2	C02934	CHEBI:58299	MNXM559	1467892402
3-methyl-2-oxobutanoate [cytoplasm]	C5H7O3	C00141	CHEBI:11851	MNXM238	1467867437
3-methyl-2-oxobutanoate [mitochondrion]	C5H7O3	C00141	CHEBI:11851	MNXM238	1467867437
3-methylbutanal [cytoplasm]	C5H10O	C07329	CHEBI:16638	MNXM5280	1467925690
3-methylbutanal [extracellular]	C5H10O	C07329	CHEBI:16638	MNXM5280	1467925690
3-methylbutanal [mitochondrion]	C5H10O	C07329	CHEBI:16638	MNXM5280	1467925690
3-oxodecanoyl-CoA [peroxisome]	C31H49N7O18P3S	C05265	CHEBI:28528	MNXM677	1467908051
3-oxohexacosanoyl-CoA [peroxisome]	C47H81N7O18P3S	nan	CHEBI:52977	MNXM36758	1468095501
3-oxolauroyl-CoA [peroxisome]	C33H53N7O18P3S	C05263	CHEBI:27868	MNXM705	1467908027
3-oxooctadecanoyl-CoA [peroxisome]	C39H65N7O18P3S	C16216	CHEBI:50571	MNXM513	1468008259
3-oxopalmitoyl-CoA [peroxisome]	C37H61N7O18P3S	C05259	CHEBI:57349	MNXM738	1467907985
3-oxotetradecanoyl-CoA [peroxisome]	C35H57N7O18P3S	C05261	CHEBI:28726	MNXM707	1467908007
3-phospho-hydroxypyruvate [cytoplasm]	C3H2O7P	C03232	CHEBI:18110	MNXM541	1467894744
3-phospho-serine [cytoplasm]	C3H6NO6P	C01005	CHEBI:57524	MNXM379	1467876785
3-phosphonato-D-glycerate(3-) [cytoplasm]	C3H4O7P	C00197	CHEBI:58272	MNXM126	1467868189
3-phosphoshikimic acid [cytoplasm]	C7H8O8P	C03175	CHEBI:145989	MNXM1265	1467894258
4,4-dimethyl-5alpha-cholesta-8,14,24-trien-3beta-ol [cytoplasm]	C29H46O	C11455	CHEBI:17813	MNXM1036	1467970572
4,5-bis(diphospho)-1D-myo-inositol tetrakisphosphate [cytoplasm]	C6H7O30P8	nan	CHEBI:53066	MNXM484827	1469307031
4-(phosphonooxy)-L-threonine [cytoplasm]	C4H8NO7P	C06055	CHEBI:58452	MNXM759	1467914556
4-amino-2-methyl-5-diphosphomethylpyrimidine [cytoplasm]	C6H9N3O7P2	C04752	CHEBI:57841	MNXM1135	1467905391
4-amino-2-methyl-5-phosphomethylpyrimidine [cytoplasm]	C6H9N3O4P	C04556	CHEBI:58354	MNXM790	1467903836
4-amino-4-deoxychorismate [cytoplasm]	C10H10NO5	C11355	CHEBI:35181	MNXM1458	1467969548
4-amino-5-hydroxymethyl-2-methylpyrimidine [cytoplasm]	C6H10N3O	C01279	CHEBI:16892	MNXM874	1467879408
4-aminobenzoate [cytoplasm]	C7H6NO2	C00568	CHEBI:17836	MNXM421	1467872398
4-aminobenzoate [extracellular]	C7H6NO2	C00568	CHEBI:17836	MNXM421	1467872398
4-aminobenzoate [mitochondrion]	C7H6NO2	C00568	CHEBI:17836	MNXM421	1467872398
4-aminobutanal [cytoplasm]	C4H10NO	C00555	CHEBI:58264	MNXM422	1467872278
4-aminobutanal [mitochondrion]	C4H10NO	C00555	CHEBI:58264	MNXM422	1467872278
4-diphospho-1D-myo-inositol pentakisphosphate [cytoplasm]	C6H7O27P7	nan	CHEBI:53064	MNXM37435	1467967773
4-guanidinobutanamide [cytoplasm]	C5H13N4O	C03078	CHEBI:58365	MNXM2617	1467893552
4-guanidinobutanoic acid [cytoplasm]	C5H11N3O2	C01035	CHEBI:15728	MNXM1312	1467877077
4-hydroxy-2-oxoglutarate [cytoplasm]	C5H4O6	C01127	CHEBI:17742	MNXM894	1467877964
4-hydroxy-2-oxoglutarate [mitochondrion]	C5H4O6	C01127	CHEBI:17742	MNXM894	1467877964
4-hydroxy-2-oxoglutarate [peroxisome]	C5H4O6	C01127	CHEBI:17742	MNXM894	1467877964
4-hydroxy-L-threonine [cytoplasm]	C4H9NO4	C06056	CHEBI:28330	MNXM1802	1467914569
4-hydroxybenzoate [cytoplasm]	C7H5O3	C00156	CHEBI:17879	MNXM164	1467867640
4-hydroxybenzoate [mitochondrion]	C7H5O3	C00156	CHEBI:17879	MNXM164	1467867640
4-hydroxybenzoyl-CoA [mitochondrion]	C28H37N7O18P3S	C02949	CHEBI:57356	MNXM739	1467892552
4-methyl-2-oxopentanoate [cytoplasm]	C6H9O3	C00233	CHEBI:17865	MNXM404	1467868629
4-methyl-2-oxopentanoate [mitochondrion]	C6H9O3	C00233	CHEBI:17865	MNXM404	1467868629
4-methyl-5-(2-phosphonooxyethyl)thiazole [cytoplasm]	C6H9NO4PS	C04327	CHEBI:58296	MNXM960	1467902246
4-methylthio-2-oxobutanoate [cytoplasm]	C5H7O3S	C01180	CHEBI:16723	MNXM276	1467878458
4-phospho-L-aspartate [cytoplasm]	C4H6NO7P	C03082	CHEBI:30407	MNXM1177	1467893595
4alpha-methylzymosterol [cytoplasm]	C28H46O	C05103	CHEBI:1949	MNXM1804	1467906991
4beta-methylzymosterol-4alpha-carboxylic acid [cytoplasm]	C29H45O3	C15808	CHEBI:50591	MNXM37762	1468004887
5'-adenylyl sulfate [cytoplasm]	C10H13N5O10PS	C00224	CHEBI:58243	MNXM287	1467868530
5'-phosphoribosyl-4-(N-succinocarboxamide)-5-aminoimidazole [cytoplasm]	C13H15N4O12P	C04823	CHEBI:58443	MNXM607	1467905854
5'-phosphoribosyl-5-aminoimidazole [cytoplasm]	C8H13N3O7P	C03373	CHEBI:58592	MNXM162266	1467895667
5'-phosphoribosyl-N-formylglycineamide [cytoplasm]	C8H13N2O9P	C04376	CHEBI:58426	MNXM453	1467902561
5'-phosphoribosyl-N-formylglycineamidine [cytoplasm]	C8H15N3O8P	C04640	CHEBI:58478	MNXM568	1467904471
5'-S-methyl-5'-thioadenosine [cytoplasm]	C11H16N5O3S	C00170	CHEBI:17509	MNXM150	1467867842
5,10-methenyl-THF [cytoplasm]	C20H20N7O6	C00445	CHEBI:57455	MNXM511	1467871009
5,10-methenyl-THF [mitochondrion]	C20H20N7O6	C00445	CHEBI:57455	MNXM511	1467871009
5,10-methylenetetrahydrofolate [cytoplasm]	C20H21N7O6	C00143	CHEBI:12071	MNXM90098	1467867460
5,10-methylenetetrahydrofolate [mitochondrion]	C20H21N7O6	C00143	CHEBI:12071	MNXM90098	1467867460
5,6,7,8-tetrahydrofolyl-L-glutamic acid [cytoplasm]	C24H27N8O9	C09332	CHEBI:27650	MNXM317	1467945595
5,6-bis(diphospho)-1D-myo-inositol tetrakisphosphate [cytoplasm]	C6H7O30P8	nan	CHEBI:52965	MNXM487477	1469307031
5-(2-hydroxyethyl)-4-methylthiazole [cytoplasm]	C6H10NOS	C04294	CHEBI:17957	MNXM962	1467902005
5-(methylsulfanyl)-2,3-dioxopentyl phosphate [cytoplasm]	C6H9O6PS	C15650	CHEBI:58828	MNXM162358	1468003327
5-[(5-phospho-1-deoxy-D-ribulos-1-ylamino)methylideneamino]-1-(5-phospho-D-ribosyl)imidazole-4-carboxamide [cytoplasm]	C15H22N5O15P2	C04916	CHEBI:58525	MNXM1408	1467906537
5-amino-6-(5-phosphoribitylamino)uracil [cytoplasm]	C9H15N4O9P	C04454	CHEBI:58421	MNXM1178	1467903089
5-amino-6-(D-ribitylamino)uracil [cytoplasm]	C9H16N4O6	C04732	CHEBI:15934	MNXM791	1467905207
5-aminolevulinate [cytoplasm]	C5H9NO3	C00430	CHEBI:17549	MNXM405	1467870875
5-aminolevulinate [extracellular]	C5H9NO3	C00430	CHEBI:17549	MNXM405	1467870875
5-aminolevulinate [mitochondrion]	C5H9NO3	C00430	CHEBI:17549	MNXM405	1467870875
5-diphospho-1D-myo-inositol pentakisphosphate [cytoplasm]	C6H7O27P7	C11526	CHEBI:58628	MNXM1715	1467967773
5-formyltetrahydrofolic acid [cytoplasm]	C20H21N7O7	C03479	CHEBI:57457	MNXM1392	1467896342
5-formyltetrahydrofolic acid [extracellular]	C20H21N7O7	C03479	CHEBI:57457	MNXM1392	1467896342
5-formyltetrahydrofolic acid [mitochondrion]	C20H21N7O7	C03479	CHEBI:57457	MNXM1392	1467896342
5-methyltetrahydrofolate [cytoplasm]	C20H23N7O6	C00440	CHEBI:18608	MNXM318	1467870978
5-methyltetrahydropteroyltri-L-glutamic acid [cytoplasm]	C30H35N9O12	C04489	CHEBI:58207	MNXM2623	1467903343
5-O-(1-carboxyvinyl)-3-phosphoshikimic acid [cytoplasm]	C10H9O10P	C01269	CHEBI:57701	MNXM1365	1467879310
5-phospho-ribosyl-glycineamide [cytoplasm]	C7H14N2O8P	C03838	CHEBI:58457	MNXM463	1467898800
5-phosphoribosyl-ATP [cytoplasm]	C15H20N5O20P4	C02739	CHEBI:58424	MNXM1351	1467891024
5-phosphoribosylamine [cytoplasm]	C5H11NO7P	C03090	CHEBI:58681	MNXM90003	1467893667
6,7-dimethyl-8-(1-D-ribityl)lumazine [cytoplasm]	C13H17N4O6	C04332	CHEBI:58201	MNXM1313	1467902278
6-(alpha-D-glucosaminyl)-1-phosphatidyl-1D-myo-inositol [endoplasmic reticulum]	C17H28NO17PR2	C04248	CHEBI:17049	MNXM1411	1467901667
6-(alpha-D-glucosaminyl)-O-acyl-1-phosphatidyl-1D-myo-inositol [endoplasmic reticulum]	nan	nan	CHEBI:53055	MNXM38512	None
